,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,score
0,NoneType,False,entropy,NoneType,0.15000000000000002,8,6,256,14,0.8425
1,PCA,True,entropy,9,0.15000000000000002,1,18,128,14,0.819
2,PCA,False,gini,10,0.45,9,17,128,14,0.8154999999999999
3,PCA,False,gini,8,0.25,17,19,8,14,0.788
4,NoneType,False,entropy,8,0.15000000000000002,1,6,64,14,0.8385000000000001
5,PCA,True,gini,11,0.1,15,3,512,14,0.8105
6,NoneType,True,entropy,9,0.25,14,4,8,14,0.7735000000000001
7,NoneType,False,entropy,8,0.15000000000000002,20,17,128,14,0.821
8,NoneType,False,entropy,10,0.2,11,6,8,14,0.8210000000000001
9,PCA,False,gini,NoneType,0.15000000000000002,3,16,32,14,0.8205
10,NoneType,False,entropy,9,0.45,2,2,64,14,0.8385000000000001
11,PCA,False,entropy,12,0.25,2,2,512,14,0.8354999999999999
12,NoneType,False,entropy,10,0.05,7,2,32,14,0.8165000000000001
13,PCA,True,entropy,NoneType,0.15000000000000002,10,14,512,14,0.8234999999999999
14,PCA,True,entropy,10,0.45,9,15,256,14,0.8225
15,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.8074999999999999
16,PCA,False,entropy,NoneType,0.05,17,10,256,14,0.8105
17,NoneType,False,gini,8,0.25,7,3,16,14,0.8089999999999999
18,NoneType,False,entropy,11,0.3,1,9,256,14,0.8465
19,NoneType,False,entropy,11,0.3,10,5,512,14,0.834
20,NoneType,False,entropy,12,0.4,1,20,32,14,0.8375
21,NoneType,True,entropy,NoneType,0.15000000000000002,1,4,512,14,0.845
22,NoneType,True,entropy,10,0.25,17,20,512,14,0.8180000000000002
23,NoneType,True,gini,NoneType,0.05,1,17,512,14,0.8190000000000002
24,NoneType,False,entropy,NoneType,0.05,2,18,512,14,0.825
25,NoneType,False,entropy,12,0.25,1,8,256,14,0.852
26,PCA,True,entropy,NoneType,0.4,8,13,8,14,0.8035
27,NoneType,True,gini,NoneType,0.25,2,4,512,14,0.8320000000000001
28,NoneType,False,entropy,NoneType,0.25,1,3,128,14,0.8485000000000001
29,NoneType,False,entropy,12,0.2,5,18,256,14,0.8394999999999999
30,NoneType,False,entropy,12,0.45,1,13,8,14,0.8319999999999999
31,NoneType,False,entropy,9,0.2,4,6,256,14,0.8455
32,NoneType,True,entropy,8,0.05,2,3,512,14,0.8175000000000001
33,PCA,False,entropy,NoneType,0.3,1,18,16,14,0.8150000000000001
34,NoneType,True,entropy,NoneType,0.45,3,8,64,14,0.8370000000000001
35,NoneType,False,entropy,8,0.45,20,17,16,14,0.8130000000000001
36,NoneType,False,entropy,11,0.3,9,8,64,14,0.8390000000000001
37,NoneType,False,entropy,NoneType,0.2,13,5,32,14,0.8290000000000001
38,NoneType,False,entropy,11,0.35000000000000003,5,20,256,14,0.8365
39,NoneType,False,entropy,NoneType,0.45,20,4,256,14,0.808
40,PCA,False,entropy,10,0.05,1,2,512,14,0.829
41,NoneType,False,gini,12,0.2,1,13,256,14,0.837
42,NoneType,True,entropy,12,0.45,3,10,512,14,0.833
43,PCA,True,entropy,10,0.45,9,15,256,14,0.8225
44,PCA,False,entropy,NoneType,0.05,17,10,256,14,0.8105
45,NoneType,False,gini,9,0.05,2,13,8,14,0.7655
46,NoneType,False,gini,8,0.4,1,4,512,14,0.8194999999999999
47,NoneType,True,gini,12,0.4,1,2,16,14,0.8115
48,NoneType,True,entropy,NoneType,0.35000000000000003,3,10,256,14,0.8355
49,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.8074999999999999
50,PCA,False,entropy,10,0.45,1,8,128,14,0.826
51,NoneType,False,gini,9,0.45,2,20,8,14,0.7975
52,PCA,True,gini,10,0.45,9,16,128,14,0.8255000000000001
53,NoneType,False,gini,11,0.05,2,18,128,14,0.8225000000000001
54,NoneType,False,gini,8,0.2,2,20,128,14,0.833
55,NoneType,False,entropy,8,0.45,17,20,128,14,0.8164999999999999
56,PCA,True,entropy,8,0.35000000000000003,5,2,512,14,0.8174999999999999
57,PCA,False,gini,8,0.45,1,19,128,14,0.8175000000000001
58,PCA,True,entropy,NoneType,0.25,1,10,128,14,0.8300000000000001
59,NoneType,True,entropy,NoneType,0.4,15,3,256,14,0.8165000000000001
60,PCA,True,gini,NoneType,0.2,8,20,128,14,0.8175000000000001
61,NoneType,True,entropy,8,0.3,3,13,512,14,0.836
62,NoneType,True,entropy,9,0.25,14,4,8,14,0.7735000000000001
63,PCA,False,gini,11,0.05,1,20,512,14,0.8159999999999998
64,PCA,True,entropy,11,0.4,20,20,512,14,0.8049999999999999
65,PCA,False,gini,8,0.25,17,19,8,14,0.788
66,PCA,False,gini,NoneType,0.45,7,19,256,14,0.8240000000000001
67,NoneType,True,gini,8,0.05,11,5,512,14,0.8135
68,NoneType,False,gini,8,0.45,3,6,512,14,0.8135
69,NoneType,False,gini,11,0.25,20,13,512,14,0.8150000000000001
70,NoneType,True,gini,11,0.45,1,20,512,14,0.8175000000000001
71,NoneType,True,entropy,11,0.15000000000000002,1,3,512,14,0.8404999999999999
72,NoneType,False,entropy,NoneType,0.35000000000000003,1,3,128,14,0.8480000000000001
73,PCA,False,gini,8,0.05,3,10,8,14,0.6874999999999999
