,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1286,dart,0.1,3,100,128,0.02096867561340332,-0.028110697370544405
1282,dart,0.1,3,100,8,0.016709661483764647,-0.028110697370544405
1283,dart,0.1,3,100,16,0.0169111967086792,-0.028110697370544405
1284,dart,0.1,3,100,32,0.01959981918334961,-0.028110697370544405
1285,dart,0.1,3,100,64,0.017690038681030272,-0.028110697370544405
1287,dart,0.1,3,100,256,0.020754051208496094,-0.028110697370544405
1421,dart,0.1,8,100,4,0.012588596343994141,-0.028080622865270466
1337,dart,0.1,5,100,4,0.013243579864501953,-0.028080622865270466
1449,dart,0.1,9,100,4,0.01107020378112793,-0.028080622865270466
1505,dart,0.1,-1,100,4,0.011582016944885254,-0.028080622865270466
1281,dart,0.1,3,100,4,0.014368247985839844,-0.028080622865270466
1309,dart,0.1,4,100,4,0.011958575248718262,-0.028080622865270466
1477,dart,0.1,10,100,4,0.011733388900756836,-0.028080622865270466
1393,dart,0.1,7,100,4,0.01432473659515381,-0.028080622865270466
1365,dart,0.1,6,100,4,0.014478850364685058,-0.028080622865270466
1302,dart,0.1,4,50,4,0.005792880058288574,-0.027307017766237077
1386,dart,0.1,7,50,4,0.0053118705749511715,-0.027307017766237077
1498,dart,0.1,-1,50,4,0.006863021850585937,-0.027307017766237077
1414,dart,0.1,8,50,4,0.00845034122467041,-0.027307017766237077
1442,dart,0.1,9,50,4,0.006052970886230469,-0.027307017766237077
1470,dart,0.1,10,50,4,0.007456231117248535,-0.027307017766237077
1358,dart,0.1,6,50,4,0.005191540718078614,-0.027307017766237077
1274,dart,0.1,3,50,4,0.008117389678955079,-0.027307017766237077
1330,dart,0.1,5,50,4,0.009511351585388184,-0.027307017766237077
1276,dart,0.1,3,50,16,0.009831690788269043,-0.02719534987229796
1280,dart,0.1,3,50,256,0.012428474426269532,-0.02719534987229796
1275,dart,0.1,3,50,8,0.007737088203430176,-0.02719534987229796
1279,dart,0.1,3,50,128,0.006898951530456543,-0.02719534987229796
1277,dart,0.1,3,50,32,0.009447598457336425,-0.02719534987229796
1278,dart,0.1,3,50,64,0.012685561180114746,-0.02719534987229796
1312,dart,0.1,4,100,32,0.02643132209777832,-0.02418355787941836
1311,dart,0.1,4,100,16,0.028028583526611327,-0.02418355787941836
1313,dart,0.1,4,100,64,0.025528383255004884,-0.02418355787941836
1315,dart,0.1,4,100,256,0.03490793704986572,-0.02418355787941836
1314,dart,0.1,4,100,128,0.029961514472961425,-0.02418355787941836
1528,dart,0.2,3,50,16,0.006604576110839843,-0.023093832800757184
1530,dart,0.2,3,50,64,0.007824277877807618,-0.023093832800757184
1531,dart,0.2,3,50,128,0.012035536766052245,-0.023093832800757184
1532,dart,0.2,3,50,256,0.010255050659179688,-0.023093832800757184
1527,dart,0.2,3,50,8,0.012245535850524902,-0.023093832800757184
1529,dart,0.2,3,50,32,0.011286020278930664,-0.023093832800757184
1694,dart,0.2,9,50,4,0.0060282468795776365,-0.022706980799044017
1526,dart,0.2,3,50,4,0.005614423751831054,-0.022706980799044017
1666,dart,0.2,8,50,4,0.00974740982055664,-0.022706980799044017
1750,dart,0.2,-1,50,4,0.005671262741088867,-0.022706980799044017
1610,dart,0.2,6,50,4,0.009488654136657716,-0.022706980799044017
1554,dart,0.2,4,50,4,0.005845570564270019,-0.022706980799044017
1582,dart,0.2,5,50,4,0.007367658615112305,-0.022706980799044017
1722,dart,0.2,10,50,4,0.005218195915222168,-0.022706980799044017
1638,dart,0.2,7,50,4,0.008981943130493164,-0.022706980799044017
1310,dart,0.1,4,100,8,0.021709847450256347,-0.022244952844548877
1308,dart,0.1,4,50,256,0.014930343627929688,-0.02155754962481141
1307,dart,0.1,4,50,128,0.015894007682800294,-0.02155754962481141
1306,dart,0.1,4,50,64,0.01364755630493164,-0.02155754962481141
1305,dart,0.1,4,50,32,0.011629390716552734,-0.02155754962481141
1304,dart,0.1,4,50,16,0.014790058135986328,-0.02155754962481141
2443,dart,0.5,9,25,4,0.003581404685974121,-0.021322845650243817
2275,dart,0.5,3,25,4,0.003370356559753418,-0.021322845650243817
2331,dart,0.5,5,25,4,0.005316972732543945,-0.021322845650243817
2303,dart,0.5,4,25,4,0.006099104881286621,-0.021322845650243817
2415,dart,0.5,8,25,4,0.0033318281173706056,-0.021322845650243817
2359,dart,0.5,6,25,4,0.0052956342697143555,-0.021322845650243817
2499,dart,0.5,-1,25,4,0.0033194303512573244,-0.021322845650243817
2471,dart,0.5,10,25,4,0.003028202056884766,-0.021322845650243817
2387,dart,0.5,7,25,4,0.006806659698486328,-0.021322845650243817
1303,dart,0.1,4,50,8,0.01099703311920166,-0.021203512460314884
1806,dart,0.3,4,50,4,0.005068063735961914,-0.021108398951471225
1918,dart,0.3,8,50,4,0.006010866165161133,-0.021108398951471225
1974,dart,0.3,10,50,4,0.00859677791595459,-0.021108398951471225
1946,dart,0.3,9,50,4,0.0069350719451904295,-0.021108398951471225
1890,dart,0.3,7,50,4,0.005079030990600586,-0.021108398951471225
2002,dart,0.3,-1,50,4,0.008152961730957031,-0.021108398951471225
1834,dart,0.3,5,50,4,0.009357357025146484,-0.021108398951471225
1778,dart,0.3,3,50,4,0.007058286666870117,-0.021108398951471225
1862,dart,0.3,6,50,4,0.006273341178894043,-0.021108398951471225
1783,dart,0.3,3,50,128,0.01018075942993164,-0.020790527965580872
1779,dart,0.3,3,50,8,0.01016860008239746,-0.020790527965580872
1782,dart,0.3,3,50,64,0.009127020835876465,-0.020790527965580872
1780,dart,0.3,3,50,16,0.007451820373535156,-0.020790527965580872
