,max_depth,max_features,max_leaf_nodes,n_estimators,oob_score,fit_time,target
240,3.0,sqrt,256.0,10,True,0.008723258972167969,-0.023032846746828123
32,2.0,log2,64.0,10,True,0.008083248138427734,-0.02264457888945836
169,3.0,log2,128.0,10,False,0.007542657852172852,-0.02244365163640328
1,2.0,log2,4.0,10,False,0.008185362815856934,-0.02235399299111698
769,8.0,log2,4.0,10,False,0.009824824333190919,-0.02227460027995498
449,5.0,sqrt,4.0,10,False,0.007715797424316407,-0.021893290281513645
64,2.0,sqrt,4.0,10,True,0.008802151679992676,-0.021761698749823054
1089,10.0,sqrt,4.0,10,False,0.007830357551574707,-0.021745265915144727
120,2.0,sqrt,,10,True,0.008939886093139648,-0.021714765509006386
832,8.0,sqrt,4.0,10,True,0.008261632919311524,-0.021582864027849886
124,2.0,sqrt,,50,True,0.040427327156066895,-0.02152444197715876
377,4.0,sqrt,,10,False,0.0076296329498291016,-0.021502870467092417
59,2.0,log2,,25,False,0.01905062198638916,-0.021458522249010667
125,2.0,sqrt,,50,False,0.03829855918884277,-0.021449199395062242
0,2.0,log2,4.0,10,True,0.009369945526123047,-0.021265606861580036
58,2.0,log2,,25,True,0.020834064483642577,-0.02124733589523144
62,2.0,log2,,100,True,0.07844879627227783,-0.021221162876307292
641,7.0,log2,4.0,10,False,0.0077562093734741214,-0.021165138797440558
126,2.0,sqrt,,100,True,0.07882709503173828,-0.02115981249924879
127,2.0,sqrt,,100,False,0.07262089252471923,-0.021150673855943984
56,2.0,log2,,10,True,0.008571481704711914,-0.0211280940859031
91,2.0,sqrt,32.0,25,False,0.019637084007263182,-0.02112249343474124
40,2.0,log2,128.0,10,True,0.008406758308410645,-0.021106999580298078
130,3.0,log2,4.0,25,True,0.020557427406311037,-0.021067002763409018
192,3.0,sqrt,4.0,10,True,0.008459115028381347,-0.021042492104717172
61,2.0,log2,,50,False,0.037336182594299314,-0.02103742341644091
323,4.0,sqrt,4.0,25,False,0.019098353385925294,-0.020990078452365207
121,2.0,sqrt,,10,False,0.007661843299865722,-0.020977436574473835
321,4.0,sqrt,4.0,10,False,0.007427501678466797,-0.020915368270919762
961,9.0,sqrt,4.0,10,False,0.007767415046691895,-0.020864292523386892
898,9.0,log2,4.0,25,True,0.020240402221679686,-0.02086156772789097
259,4.0,log2,4.0,25,False,0.018942618370056154,-0.020861213857780007
80,2.0,sqrt,16.0,10,True,0.008405566215515137,-0.020844756916553984
123,2.0,sqrt,,25,False,0.018504977226257324,-0.02084415422920737
60,2.0,log2,,50,True,0.04005167484283447,-0.020805829358996924
97,2.0,sqrt,64.0,10,False,0.008292865753173829,-0.020800701987586205
63,2.0,log2,,100,False,0.07356986999511719,-0.020791557630790193
1154,,log2,4.0,25,True,0.020635390281677247,-0.020783093961238695
256,4.0,log2,4.0,10,True,0.009488606452941894,-0.020776191761721373
257,4.0,log2,4.0,10,False,0.008467793464660645,-0.02075609830254087
709,7.0,sqrt,4.0,50,False,0.03774383068084717,-0.020753768834208625
707,7.0,sqrt,4.0,25,False,0.019202041625976562,-0.02072343234499795
10,2.0,log2,8.0,25,True,0.02129044532775879,-0.020680866306663916
897,9.0,log2,4.0,10,False,0.007460355758666992,-0.020669128896385416
1024,10.0,log2,4.0,10,True,0.00830984115600586,-0.020655069959097758
835,8.0,sqrt,4.0,25,False,0.019017601013183595,-0.02064798708805651
833,8.0,sqrt,4.0,10,False,0.007462882995605468,-0.02063126759423734
1091,10.0,sqrt,4.0,25,False,0.019147467613220216,-0.0205723221200083
90,2.0,sqrt,32.0,25,True,0.020616912841796876,-0.0205631551026251
518,6.0,log2,4.0,100,True,0.07854671478271484,-0.020562001146132276
385,5.0,log2,4.0,10,False,0.007371091842651367,-0.020482996962272876
448,5.0,sqrt,4.0,10,True,0.009117555618286134,-0.020444804930593308
451,5.0,sqrt,4.0,25,False,0.019991302490234376,-0.020431107580357835
34,2.0,log2,64.0,25,True,0.019959735870361327,-0.02034406201510003
161,3.0,log2,64.0,10,False,0.007998323440551758,-0.02033424702899387
964,9.0,sqrt,4.0,50,True,0.04028840065002441,-0.020326356933826038
1152,,log2,4.0,10,True,0.008334207534790038,-0.020325436616186417
3,2.0,log2,4.0,25,False,0.019068574905395506,-0.020317839211307313
834,8.0,sqrt,4.0,25,True,0.02021470069885254,-0.0203157580962352
896,9.0,log2,4.0,10,True,0.008624601364135741,-0.020313213682927836
328,4.0,sqrt,8.0,10,True,0.0088348388671875,-0.020286064966523933
