,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
0,NoneType,False,entropy,NoneType,0.15000000000000002,8,6,256,14,12.421954870223999
1,PCA,True,entropy,9,0.15000000000000002,1,18,128,14,5.096284627914429
2,PCA,False,gini,10,0.45,9,17,128,14,4.811338901519775
3,PCA,False,gini,8,0.25,17,19,8,14,1.0297954082489014
4,NoneType,False,entropy,8,0.15000000000000002,1,6,64,14,3.503683567047119
5,PCA,True,gini,11,0.1,15,3,512,14,3.6340739727020264
6,NoneType,True,entropy,9,0.25,14,4,8,14,0.7291953563690186
7,NoneType,False,entropy,8,0.15000000000000002,20,17,128,14,5.5999510288238525
8,NoneType,False,entropy,10,0.2,11,6,8,14,0.9039483070373535
9,PCA,False,gini,NoneType,0.15000000000000002,3,16,32,14,1.294510841369629
10,NoneType,False,entropy,9,0.45,2,2,64,14,9.216907739639282
11,PCA,False,entropy,12,0.25,2,2,512,14,45.07225584983826
12,NoneType,False,entropy,10,0.05,7,2,32,14,0.9005146026611328
13,PCA,True,entropy,NoneType,0.15000000000000002,10,14,512,14,15.924562215805054
14,PCA,True,entropy,10,0.45,9,15,256,14,20.026491165161133
15,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.6224193572998047
16,PCA,False,entropy,NoneType,0.05,17,10,256,14,5.27642035484314
17,NoneType,False,gini,8,0.25,7,3,16,14,0.5908811092376709
18,NoneType,False,entropy,11,0.3,1,9,256,14,24.729966640472412
19,NoneType,False,entropy,11,0.3,10,5,512,14,44.10082268714905
20,NoneType,False,entropy,12,0.4,1,20,32,14,4.332212448120117
21,NoneType,True,entropy,NoneType,0.15000000000000002,1,4,512,14,16.63714289665222
22,NoneType,True,entropy,10,0.25,17,20,512,14,20.658696174621582
23,NoneType,True,gini,NoneType,0.05,1,17,512,14,2.428114652633667
24,NoneType,False,entropy,NoneType,0.05,2,18,512,14,9.228094100952148
25,NoneType,False,entropy,12,0.25,1,8,256,14,21.849512815475464
26,PCA,True,entropy,NoneType,0.4,8,13,8,14,1.311859369277954
27,NoneType,True,gini,NoneType,0.25,2,4,512,14,7.8393874168396
28,NoneType,False,entropy,NoneType,0.25,1,3,128,14,11.32948923110962
29,NoneType,False,entropy,12,0.2,5,18,256,14,16.732335090637207
30,NoneType,False,entropy,12,0.45,1,13,8,14,1.5236568450927734
31,NoneType,False,entropy,9,0.2,4,6,256,14,16.749293327331543
32,NoneType,True,entropy,8,0.05,2,3,512,14,5.8247668743133545
33,PCA,False,entropy,NoneType,0.3,1,18,16,14,2.4486165046691895
34,NoneType,True,entropy,NoneType,0.45,3,8,64,14,5.6201558113098145
35,NoneType,False,entropy,8,0.45,20,17,16,14,2.210359573364258
36,NoneType,False,entropy,11,0.3,9,8,64,14,5.931999921798706
37,NoneType,False,entropy,NoneType,0.2,13,5,32,14,2.2346415519714355
38,NoneType,False,entropy,11,0.35000000000000003,5,20,256,14,27.268532037734985
39,NoneType,False,entropy,NoneType,0.45,20,4,256,14,29.96518588066101
40,PCA,False,entropy,10,0.05,1,2,512,14,11.464827537536621
41,NoneType,False,gini,12,0.2,1,13,256,14,5.023714780807495
42,NoneType,True,entropy,12,0.45,3,10,512,14,42.18657207489014
43,PCA,True,entropy,10,0.45,9,15,256,14,20.0369131565094
44,PCA,False,entropy,NoneType,0.05,17,10,256,14,5.324703693389893
45,NoneType,False,gini,9,0.05,2,13,8,14,0.4050166606903076
46,NoneType,False,gini,8,0.4,1,4,512,14,15.450322151184082
47,NoneType,True,gini,12,0.4,1,2,16,14,0.7237551212310791
48,NoneType,True,entropy,NoneType,0.35000000000000003,3,10,256,14,16.849825620651245
49,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.6159169673919678
50,PCA,False,entropy,10,0.45,1,8,128,14,18.91830325126648
51,NoneType,False,gini,9,0.45,2,20,8,14,0.6993868350982666
52,PCA,True,gini,10,0.45,9,16,128,14,3.1956026554107666
53,NoneType,False,gini,11,0.05,2,18,128,14,0.9857783317565918
54,NoneType,False,gini,8,0.2,2,20,128,14,2.3109865188598633
55,NoneType,False,entropy,8,0.45,17,20,128,14,15.413585186004639
56,PCA,True,entropy,8,0.35000000000000003,5,2,512,14,32.55471396446228
57,PCA,False,gini,8,0.45,1,19,128,14,4.896549463272095
58,PCA,True,entropy,NoneType,0.25,1,10,128,14,7.61435341835022
59,NoneType,True,entropy,NoneType,0.4,15,3,256,14,16.0185284614563
60,PCA,True,gini,NoneType,0.2,8,20,128,14,2.0983593463897705
61,NoneType,True,entropy,8,0.3,3,13,512,14,27.579280853271484
62,NoneType,True,entropy,9,0.25,14,4,8,14,0.727445125579834
63,PCA,False,gini,11,0.05,1,20,512,14,3.6030473709106445
64,PCA,True,entropy,11,0.4,20,20,512,14,30.958012342453003
65,PCA,False,gini,8,0.25,17,19,8,14,0.9014489650726318
66,PCA,False,gini,NoneType,0.45,7,19,256,14,9.21480393409729
67,NoneType,True,gini,8,0.05,11,5,512,14,2.136425018310547
68,NoneType,False,gini,8,0.45,3,6,512,14,17.070815324783325
69,NoneType,False,gini,11,0.25,20,13,512,14,9.439990997314453
70,NoneType,True,gini,11,0.45,1,20,512,14,12.056546688079834
71,NoneType,True,entropy,11,0.15000000000000002,1,3,512,14,16.565824270248413
72,NoneType,False,entropy,NoneType,0.35000000000000003,1,3,128,14,14.95631742477417
73,PCA,False,gini,8,0.05,3,10,8,14,0.8477420806884766
74,NoneType,False,entropy,12,0.45,20,12,8,14,1.3194496631622314
75,NoneType,False,gini,8,0.2,4,2,128,14,2.3149054050445557
76,NoneType,True,entropy,NoneType,0.3,1,2,256,14,15.15465235710144
77,PCA,False,gini,11,0.45,2,2,16,14,1.41591215133667
78,NoneType,False,gini,NoneType,0.25,19,20,32,14,1.0379791259765625
79,NoneType,False,gini,9,0.25,1,2,512,14,11.047552347183228
80,PCA,False,gini,9,0.05,1,6,128,14,1.4143786430358887
81,NoneType,False,entropy,NoneType,0.3,3,13,256,14,24.553261756896973
82,PCA,False,entropy,NoneType,0.45,20,20,64,14,8.427253484725952
83,NoneType,False,entropy,10,0.2,1,7,256,14,17.537434816360474
