,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1344,dart,0.1,6,10,4,0.006921839714050293,-0.5249002884327164
1456,dart,0.1,10,10,4,0.002518367767333984,-0.5249002884327164
1428,dart,0.1,9,10,4,0.0035963535308837892,-0.5249002884327164
1260,dart,0.1,3,10,4,0.002388596534729004,-0.5249002884327164
1288,dart,0.1,4,10,4,0.0028627395629882814,-0.5249002884327164
1316,dart,0.1,5,10,4,0.008388471603393555,-0.5249002884327164
1484,dart,0.1,-1,10,4,0.003944993019104004,-0.5249002884327164
1372,dart,0.1,7,10,4,0.0018287897109985352,-0.5249002884327164
1400,dart,0.1,8,10,4,0.005219411849975586,-0.5249002884327164
56,gbdt,0.1,5,10,4,0.0023166418075561525,-0.4626076943925838
84,gbdt,0.1,6,10,4,0.0018681049346923827,-0.4626076943925838
0,gbdt,0.1,3,10,4,0.0019254684448242188,-0.4626076943925838
140,gbdt,0.1,8,10,4,0.0018915891647338866,-0.4626076943925838
224,gbdt,0.1,-1,10,4,0.001857590675354004,-0.4626076943925838
168,gbdt,0.1,9,10,4,0.004315662384033203,-0.4626076943925838
112,gbdt,0.1,7,10,4,0.0021554708480834963,-0.4626076943925838
28,gbdt,0.1,4,10,4,0.0032696962356567384,-0.4626076943925838
196,gbdt,0.1,10,10,4,0.0017971277236938476,-0.4626076943925838
1265,dart,0.1,3,10,128,0.0038637876510620116,-0.407510651105766
1264,dart,0.1,3,10,64,0.0028641939163208006,-0.407510651105766
1261,dart,0.1,3,10,8,0.002613472938537598,-0.407510651105766
1262,dart,0.1,3,10,16,0.0026757240295410155,-0.407510651105766
1263,dart,0.1,3,10,32,0.0027170419692993165,-0.407510651105766
1266,dart,0.1,3,10,256,0.0033344268798828126,-0.407510651105766
1317,dart,0.1,5,10,8,0.004831790924072266,-0.4062378953715411
1485,dart,0.1,-1,10,8,0.0040654420852661135,-0.4062378953715411
1457,dart,0.1,10,10,8,0.0032697439193725584,-0.4062378953715411
1373,dart,0.1,7,10,8,0.002274894714355469,-0.4062378953715411
1345,dart,0.1,6,10,8,0.0042534351348876955,-0.4062378953715411
1401,dart,0.1,8,10,8,0.008691763877868653,-0.4062378953715411
1429,dart,0.1,9,10,8,0.003916025161743164,-0.4062378953715411
1289,dart,0.1,4,10,8,0.0027018308639526365,-0.4062079495849555
1293,dart,0.1,4,10,128,0.0037583827972412108,-0.3704774549393361
1294,dart,0.1,4,10,256,0.003870391845703125,-0.3704774549393361
1292,dart,0.1,4,10,64,0.004388046264648437,-0.3704774549393361
1291,dart,0.1,4,10,32,0.004244112968444824,-0.3704774549393361
1290,dart,0.1,4,10,16,0.003099370002746582,-0.3704774549393361
1318,dart,0.1,5,10,16,0.007292842864990235,-0.36615999798824517
1374,dart,0.1,7,10,16,0.003380894660949707,-0.3652622938179821
1458,dart,0.1,10,10,16,0.004146742820739746,-0.3652622938179821
1486,dart,0.1,-1,10,16,0.004576992988586426,-0.3652622938179821
1430,dart,0.1,9,10,16,0.00502777099609375,-0.3652622938179821
1402,dart,0.1,8,10,16,0.0056842327117919925,-0.3652622938179821
