,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1456,dart,0.1,10,10,4,0.003919529914855957,-0.4820720004603927
1344,dart,0.1,6,10,4,0.0049942731857299805,-0.4820720004603927
1316,dart,0.1,5,10,4,0.004958128929138184,-0.4820720004603927
1372,dart,0.1,7,10,4,0.00460808277130127,-0.4820720004603927
1288,dart,0.1,4,10,4,0.004085707664489746,-0.4820720004603927
1400,dart,0.1,8,10,4,0.0050267457962036135,-0.4820720004603927
1428,dart,0.1,9,10,4,0.004281949996948242,-0.4820720004603927
1260,dart,0.1,3,10,4,0.0045785665512084964,-0.4820720004603927
1484,dart,0.1,-1,10,4,0.004242539405822754,-0.4820720004603927
84,gbdt,0.1,6,10,4,0.006750679016113282,-0.42891533367578805
112,gbdt,0.1,7,10,4,0.0032047748565673826,-0.42891533367578805
28,gbdt,0.1,4,10,4,0.0030087709426879885,-0.42891533367578805
140,gbdt,0.1,8,10,4,0.005061507225036621,-0.42891533367578805
168,gbdt,0.1,9,10,4,0.00468294620513916,-0.42891533367578805
196,gbdt,0.1,10,10,4,0.00417637825012207,-0.42891533367578805
0,gbdt,0.1,3,10,4,0.0033916234970092773,-0.42891533367578805
56,gbdt,0.1,5,10,4,0.00335085391998291,-0.42891533367578805
224,gbdt,0.1,-1,10,4,0.005267572402954101,-0.42891533367578805
1266,dart,0.1,3,10,256,0.005943155288696289,-0.39278736361095584
1265,dart,0.1,3,10,128,0.007151007652282715,-0.39278736361095584
1264,dart,0.1,3,10,64,0.005720615386962891,-0.39278736361095584
1263,dart,0.1,3,10,32,0.005201792716979981,-0.39278736361095584
1261,dart,0.1,3,10,8,0.005236530303955078,-0.39278736361095584
1262,dart,0.1,3,10,16,0.0052661895751953125,-0.39278736361095584
1345,dart,0.1,6,10,8,0.005102896690368652,-0.3839778766964592
1317,dart,0.1,5,10,8,0.006289482116699219,-0.3839778766964592
1373,dart,0.1,7,10,8,0.005739259719848633,-0.3839778766964592
1429,dart,0.1,9,10,8,0.0048792362213134766,-0.3839778766964592
1401,dart,0.1,8,10,8,0.005121350288391113,-0.3839778766964592
1457,dart,0.1,10,10,8,0.004329180717468262,-0.3839778766964592
1485,dart,0.1,-1,10,8,0.005534219741821289,-0.3839778766964592
1289,dart,0.1,4,10,8,0.004814863204956055,-0.3835759742994851
1,gbdt,0.1,3,10,8,0.005362415313720703,-0.33810574250940173
2,gbdt,0.1,3,10,16,0.003729510307312012,-0.33810574250940173
3,gbdt,0.1,3,10,32,0.0039968729019165036,-0.33810574250940173
6,gbdt,0.1,3,10,256,0.00385899543762207,-0.33810574250940173
4,gbdt,0.1,3,10,64,0.004836225509643554,-0.33810574250940173
5,gbdt,0.1,3,10,128,0.004038476943969726,-0.33810574250940173
1292,dart,0.1,4,10,64,0.006250500679016113,-0.32819697682718824
1290,dart,0.1,4,10,16,0.007470083236694336,-0.32819697682718824
1291,dart,0.1,4,10,32,0.0073512554168701175,-0.32819697682718824
1294,dart,0.1,4,10,256,0.008368921279907227,-0.32819697682718824
1293,dart,0.1,4,10,128,0.006805324554443359,-0.32819697682718824
169,gbdt,0.1,9,10,8,0.004424691200256348,-0.32539515799189067
197,gbdt,0.1,10,10,8,0.005523228645324707,-0.32539515799189067
85,gbdt,0.1,6,10,8,0.008302259445190429,-0.32539515799189067
141,gbdt,0.1,8,10,8,0.005705070495605469,-0.32539515799189067
225,gbdt,0.1,-1,10,8,0.008297204971313477,-0.32539515799189067
113,gbdt,0.1,7,10,8,0.0039718389511108395,-0.32539515799189067
57,gbdt,0.1,5,10,8,0.004884552955627441,-0.32539515799189067
29,gbdt,0.1,4,10,8,0.0037001609802246095,-0.3251819510150902
1374,dart,0.1,7,10,16,0.007488918304443359,-0.3174893913769747
1402,dart,0.1,8,10,16,0.007987356185913086,-0.3174893913769747
1486,dart,0.1,-1,10,16,0.009081006050109863,-0.3174893913769747
1346,dart,0.1,6,10,16,0.009437251091003417,-0.3174893913769747
1458,dart,0.1,10,10,16,0.007200288772583008,-0.3174893913769747
1430,dart,0.1,9,10,16,0.0075007200241088865,-0.3174893913769747
1318,dart,0.1,5,10,16,0.2835875988006592,-0.3174118982683877
1321,dart,0.1,5,10,128,0.010590028762817384,-0.2856091526181139
1319,dart,0.1,5,10,32,0.008651423454284667,-0.2856091526181139
1322,dart,0.1,5,10,256,0.01702704429626465,-0.2856091526181139
1320,dart,0.1,5,10,64,0.009078574180603028,-0.2856091526181139
1375,dart,0.1,7,10,32,0.010157561302185059,-0.28200675066247666
1431,dart,0.1,9,10,32,0.01131279468536377,-0.28154878727268295
1487,dart,0.1,-1,10,32,0.010544991493225098,-0.28154878727268295
1459,dart,0.1,10,10,32,0.01000962257385254,-0.28154878727268295
1403,dart,0.1,8,10,32,0.011309194564819335,-0.28151943975687516
1347,dart,0.1,6,10,32,0.009890246391296386,-0.28112985718734623
34,gbdt,0.1,4,10,256,0.00687410831451416,-0.2728984303139262
30,gbdt,0.1,4,10,16,0.006447505950927734,-0.2728984303139262
31,gbdt,0.1,4,10,32,0.00482783317565918,-0.2728984303139262
32,gbdt,0.1,4,10,64,0.004411482810974121,-0.2728984303139262
33,gbdt,0.1,4,10,128,0.006119966506958008,-0.2728984303139262
1624,dart,0.2,7,10,4,0.003945016860961914,-0.26495837818203427
1736,dart,0.2,-1,10,4,0.005281519889831543,-0.26495837818203427
1652,dart,0.2,8,10,4,0.00513916015625,-0.26495837818203427
1540,dart,0.2,4,10,4,0.004233908653259277,-0.26495837818203427
1512,dart,0.2,3,10,4,0.004032349586486817,-0.26495837818203427
1568,dart,0.2,5,10,4,0.004297590255737305,-0.26495837818203427
1596,dart,0.2,6,10,4,0.004813528060913086,-0.26495837818203427
1680,dart,0.2,9,10,4,0.004385900497436523,-0.26495837818203427
1708,dart,0.2,10,10,4,0.008209633827209472,-0.26495837818203427
1350,dart,0.1,6,10,256,0.015065312385559082,-0.26306053437573995
1348,dart,0.1,6,10,64,0.014493656158447266,-0.26306053437573995
1349,dart,0.1,6,10,128,0.015072965621948242,-0.26306053437573995
198,gbdt,0.1,10,10,16,0.00683281421661377,-0.2629110835798859
142,gbdt,0.1,8,10,16,0.007279872894287109,-0.2629110835798859
114,gbdt,0.1,7,10,16,0.005204892158508301,-0.2629110835798859
86,gbdt,0.1,6,10,16,0.007785415649414063,-0.2629110835798859
170,gbdt,0.1,9,10,16,0.007104992866516113,-0.2629110835798859
226,gbdt,0.1,-1,10,16,0.007511401176452636,-0.2629110835798859
58,gbdt,0.1,5,10,16,0.005090856552124023,-0.2627716715163711
1376,dart,0.1,7,10,64,0.014385724067687988,-0.2610765672332043
1460,dart,0.1,10,10,64,0.015849041938781738,-0.260923435581552
1432,dart,0.1,9,10,64,0.015027761459350586,-0.260923435581552
1488,dart,0.1,-1,10,64,0.017012619972229005,-0.260923435581552
1404,dart,0.1,8,10,64,0.015999245643615722,-0.2609001863926096
1489,dart,0.1,-1,10,128,0.029425764083862306,-0.2529416521382084
1461,dart,0.1,10,10,128,0.025017094612121583,-0.2526576067178148
1433,dart,0.1,9,10,128,0.02755594253540039,-0.2516589794504487
1377,dart,0.1,7,10,128,0.02085456848144531,-0.25117607289946753
1378,dart,0.1,7,10,256,0.021071696281433107,-0.25117607289946753
1405,dart,0.1,8,10,128,0.02553396224975586,-0.24996224555084498
1490,dart,0.1,-1,10,256,0.05242087841033936,-0.24774871767756265
1462,dart,0.1,10,10,256,0.04432797431945801,-0.24741487253691255
1406,dart,0.1,8,10,256,0.03878324031829834,-0.24613917784278477
1434,dart,0.1,9,10,256,0.043987369537353514,-0.24591284522242735
61,gbdt,0.1,5,10,128,0.005793166160583496,-0.232822892836243
59,gbdt,0.1,5,10,32,0.0062318086624145504,-0.232822892836243
62,gbdt,0.1,5,10,256,0.007759404182434082,-0.232822892836243
60,gbdt,0.1,5,10,64,0.008181428909301758,-0.232822892836243
227,gbdt,0.1,-1,10,32,0.009436631202697754,-0.2294971436402439
199,gbdt,0.1,10,10,32,0.009084677696228028,-0.2294971436402439
171,gbdt,0.1,9,10,32,0.011300611495971679,-0.2294971436402439
143,gbdt,0.1,8,10,32,0.010879039764404297,-0.22947783143672426
115,gbdt,0.1,7,10,32,0.008981871604919433,-0.2292644650552512
87,gbdt,0.1,6,10,32,0.009403133392333984,-0.22860842076087284
336,gbdt,0.2,6,10,4,0.010311198234558106,-0.22218638726792886
308,gbdt,0.2,5,10,4,0.004185366630554199,-0.22218638726792886
252,gbdt,0.2,3,10,4,0.004126715660095215,-0.22218638726792886
476,gbdt,0.2,-1,10,4,0.003288936614990234,-0.22218638726792886
392,gbdt,0.2,8,10,4,0.0063708782196044925,-0.22218638726792886
420,gbdt,0.2,9,10,4,0.004622697830200195,-0.22218638726792886
364,gbdt,0.2,7,10,4,0.005221009254455566,-0.22218638726792886
280,gbdt,0.2,4,10,4,0.004310417175292969,-0.22218638726792886
448,gbdt,0.2,10,10,4,0.007270264625549317,-0.22218638726792886
1295,dart,0.1,4,25,4,0.008040928840637207,-0.2197305595658902
1463,dart,0.1,10,25,4,0.006346440315246582,-0.2197305595658902
1379,dart,0.1,7,25,4,0.006724238395690918,-0.2197305595658902
1323,dart,0.1,5,25,4,0.008173775672912598,-0.2197305595658902
1267,dart,0.1,3,25,4,0.0074203252792358395,-0.2197305595658902
1407,dart,0.1,8,25,4,0.007226085662841797,-0.2197305595658902
1491,dart,0.1,-1,25,4,0.008727741241455079,-0.2197305595658902
1435,dart,0.1,9,25,4,0.009093546867370605,-0.2197305595658902
1351,dart,0.1,6,25,4,0.008427667617797851,-0.2197305595658902
90,gbdt,0.1,6,10,256,0.0147294282913208,-0.21005779190079746
89,gbdt,0.1,6,10,128,0.010960698127746582,-0.21005779190079746
88,gbdt,0.1,6,10,64,0.020646119117736818,-0.21005779190079746
